Id,CommandID (Info),OmoteBodyJp,OmoteBodyEn,OmoteBodyCn,OtomeBodyKo,OmoteBodyTw,OmoteImageId,BuzzPowerFav,BuzzPowerRT,UraBodyJp,UraBodyEn,UraBodyCn,UraBodyKo,UraBodyTw,UraImageId,isNight,isDay
Tweet010,Amechan_ichatsuku (Cuddle),N/A,N/A,N/A,,N/A,N/A,0,0,すきだよ,i love you,喜欢你,좋아해,偶喜翻你,N/A,FALSE,FALSE
Tweet012,Amechan_kizu (Pity Party),超てんちゃんにも　たまには寂しいときがある……🥺,I'm having one of those nights where I feel a little lonely... 🥺,有些时候 超天酱也会孤单寂寞……🥺,나도 가끔은 외로울 때가 있어...🥺,有時 超天醬也會孤單寂寞……🥺,N/A,80,20,"なんか感情が溢れちゃってピに抱きしめられながら泣いてた……😢
特になにかあった訳じゃないんだけどね。そんなときもある","got really emotional for some reason and p-chan held me all day... 😢
nothing in particular happened or anything but some days are just like that yknow","情绪突然崩溃了 P抱着大哭的我哄了一天……😢
我偶尔会这样无来由的崩溃",갑자기 감정을 주체할 수 없어서 P 품에 안긴 채 울고 말았어...😢 딱히 무슨 일이 있었던 것도 아닌데 말야. 그럴 때도 있는 법이잖아,情緒突然崩潰T_T P抱著大哭的我哄了一天……😢我偶爾會這樣莫名其妙崩潰,N/A,FALSE,FALSE
Tweet013,Amechan_kizu (Pity Party),N/A,N/A,N/A,,N/A,N/A,0,0,ピ　あいしてる,i love u p-chan,P 我爱你,"P, 정말 사랑해",P 我愛你,,FALSE,FALSE
Tweet014,Amechan_kizu (Pity Party),超てんちゃんは全部いつも一人だからたまに折れそうになる時もあるけど、応援してくれるみんなのこと思い出していつも頑張るよ✨,"It's tough doing everything by myself, but thinking of all my lovely fans keeps me going. I'll continue to do my best no matter what!✨",超天酱永远都是孤独的 所以偶尔会崩溃 但是只要想起支持着我的大家就还能努力下去✨,"항상 혼자니까 가끔 마음이 꺾일 때도 있지만, 응원해 주는 너희 모두를 생각하며 열심히 할게✨",超天醬永遠都是孤單一人 所以偶爾也會受挫。 但只要想起支持我的大家就還能繼續努力下去✨,N/A,60,40,マジでピがいないと死んじゃう😭 今日もずっとよしよしってしてもらってた；； ファンが増えるたびに一人じゃ耐えきれなくなってくるよ……,p-chan hugged me and gave me a lot of headpats today;; id die without p-chan tbh the more fans I get the harder everything gets😭,"没有P我真的会死😭 
今天也被阿P摸了一整天的头；； 
粉丝越涨我越没办法自己去承受……",P가 없었으면 숨을 쉬지도 못했을 거야😭 오늘도 쭉 P에게 위로받았어;ㅅ; 팬이 늘어날 때마다 혼자서는 도저히 감당하기 어려워...,沒有P我真的會死😭 今天也讓阿P摸了一整天的頭QQ 粉絲越多我越沒辦法自己承受……,N/A,FALSE,FALSE
Tweet018,InternetYoutube (Video Streaming),"一人でずっと動画サイトでアニメみてた～
みんなのオススメの作品をリプライで教えてくれたらうれしいな～🎶",I've been streaming a lot of anime by myself recently! Let me know in the replies if you have any recommendations🎶,一个人逛某站看了好久的番～ 大家有什么喜欢的作品也可以在评论里推荐给我～🎶,지금까지 영상 사이트에서 애니 보며 달렸어~ 다들 답멘으로 추천작 알려줘🎶,一個人逛網站看了好久的動畫～ 大家有什麼推薦的片也可以跟我說喲～🎶,N/A,50,60,ピと一緒にだらだら深夜アニメみてる時間がいちばん幸せかもしれん,lying around with p-chan and watching late night anime is probably my fav thing ever hehe,跟阿P一起瘫着看深夜番的时候可能是我人生中最幸福的时刻,P랑 함께 빈둥거리며 심야 애니메이션을 보는 이 시간이 정말 행복한 것 같아,跟阿P一起癱著看深夜動畫的時候可能是我人生最幸福的時刻,,FALSE,FALSE
Tweet019,InternetYoutube (Video Streaming),"怖い映画見て今日全然ねれなそう；；　
みんな助けて；；",Watched a horror movie and now I can't sleep;; Help;;,看了恐怖电影被吓到睡不着了；； 大家救救我；；,무서운 영화를 봐서인지 오늘 잠은 다 잔 것 같아 ;ㅅ; 도와줘 ;ㅁ;,看了恐怖電影被嚇到睡不著了；； 救救我吧！大家；；,N/A,80,40,"怖い映画みた～🥺
タイトル通りめっちゃ仄暗くてこわかったよぅ。。。
ジャパニーズホラーの丁寧に怖がらせる導線引いてくる感じ好きかも
もちろん一気にドッキリさせるのもいいけどね
今度ドッキリ配信やろうかな
急にわたしの怖い顔がでて「キャーッ！」って叫ぶの
そういうFLASHになっちゃうか","watched a scary movie🥺 it was dark n there was a lot of water... like the title literally says
but wow j-horror is really good at building suspense? i like jumpscares but this hits different. should i do a jumpscare stream lol ill just start screaming in the middle of a game","看了恐怖电影～ 🥺
跟标题说的一样暗暗的好可怕。。。

我可能挺喜欢日式恐怖那种慢慢渗透你身心的铺垫方式。
当然震你一下系的也不错啦。下次直播就这么玩好了。
比如突然露出我的鬼脸！然后尖叫什么的 
感觉好像以前网上那些FLASH鬼图耶","무서운 영화를 봤어~🥺 제목대로 굉장히 어둡고 무섭더라... 일본 호러영화가 주는 잔잔하면서 서서히 공포를 쌓아가는 느낌은 정말 좋은 것 같아. 갑자기 깜짝 놀래키는 요소도 좋긴 하지만 말야. 다음에 몰카 방송이라도 해볼까. 갑자기 무시무시한 내 얼굴이 튀어나오며 ""꺄아~!"" 라며 소리지르는 점프스케어는 어떠려나?","看了恐怖電影～ 🥺
 跟片名說的一樣又暗又可怕。。。
我想我挺喜歡日式恐怖那種慢慢滲透內心的鋪陳方式。當然突然嚇你一把的也不錯啦！下次直播就這麼玩好了
比如突然露出我的鬼臉！然後尖叫什麼的 
 
 感覺好像以前網上那些FLASH鬼圖耶！",N/A,TRUE,FALSE
Tweet020,InternetYoutube (Video Streaming),N/A,N/A,N/A,,N/A,N/A,0,0,"怖い映画見たときって、ふざけて恋人に抱きつくかどうか悩まない？　
今日思わずやっちゃったんだけど、本気で怖がってると思われて「え？　マジ？」って顔されたわ","you ever like think about if you should grab onto your SO during a horror movie for jokes and then when you actually do it they think youre actually scared and theyre all like ""this isnt even that scary wtf"" (cries)",只有我会纠结看恐怖片的时候要不要装害怕扑进对象怀里吗？今天下意识这么干了，结果对方以为我真的很害怕，一副「不是吧？就这？」的表情看着我（哭,"무서운 영화를 볼 때, 일부러 애인 품에 안길지 말지 고민될 때가 있지? 오늘 나도 모르게 품에 안겼는데, 정말 무서워서 그런 줄 알았는지 ""응? 무서웠나?"" 라는 표정을 짓더라","只有我會糾結看恐怖片的時候要不要裝害怕撲進男友懷裡嗎？
今天一個沒忍住就這麼做了，結果對方以為我真的很害怕，一副「不是吧？這樣就？」的表情看著我",N/A,FALSE,FALSE
Tweet021,InternetYoutube (Video Streaming),"恋愛映画大好き。
こんな素敵な恋がしたくなっちゃう✨
いつか超てんちゃんも映画みたいな恋をする時がくるのかなぁ？",I really like romance movies... They make me want to fall in love myself✨ When will I get my meet cute🥺,超爱看爱情片的 我也想要那么美好的恋爱✨ 超天酱也配拥有屏幕里那种绝美的恋情吗？,로맨틱한 영화는 넘 좋아. 나도 저런 멋진 사랑을 하고 싶어지거든✨ 나도 언젠가 영화 속 주인공처럼 사랑하게 될 날이 오려나?,我超愛看愛情電影！也想擁有那麼美好的戀情✨ 超天醬也能擁有電影裡那種絕美的戀情嗎？,N/A,90,30,"恋愛モノって洒落臭くて映画館まで行きたくないけど
ピと二人で笑いながらみるのはハマっちゃうかも　中高生なら素直に楽しめたかもな～🥺　あー子供に戻りてぇっすわ😂ｗ",romcoms are kinda dumb so id never go watch one in an actual cinema but watching them with p-chan is actually kinda fun? i think i wouldve liked them unironically in middle school...🥺 ah to be young again😂,感觉特意去电影院看爱情片太装x了，但是和阿P一起看看笑笑还蛮上瘾的……如果我还是中学生大概就能放开了喜欢吧～🥺啊～～好想回到童年啊😂w,"로맨스물은 되도 않는 이야기뿐이라 영화관까지 가서 보고 싶진 않지만, P랑 같이 웃으면서 보는 건 푹 빠질 듯. 중고등학생 시절이었다면 순수한 마음으로 볼 수 있었겠지~🥺 아~ 어린 시절로 돌아가고파~ㅋ😂","特地去電影院看愛情片感覺實在很假掰，但和阿P一起邊看邊笑還蠻讓人上癮……如果我還是國高中生大概就能坦率喜歡愛情片吧～🥺
啊～～好想回到童年哦😂w",N/A,FALSE,FALSE
Tweet022,InternetYoutube (Video Streaming),N/A,N/A,N/A,,N/A,N/A,0,0,恋愛映画みてたら、ちょっとえっちなシーンがあって、ピが恥ずかしそうに顔そらしてた　いつもやることヤってるのに急にウブでかわいかった（あめは凝視した👀）,"we were watching a romance movie and when a sex scene came up p-chan got embarrassed and looked away even though we fuck all the time lol
shy p-chan is cute! cute!! not me though i watched the whole thing lmao👀",今天看爱情片 突然出现比较香艳的场景时 P有点不好意思地移开了视线。明明平时都有在做那个却突然这么纯情好可爱哦（本糖盯着看了好久👀）,로맨스 영화에서 살짝 야한 장면이 나오니까 P가 어색하게 시선을 돌리더라. 늘 하던 건데 갑자기 순진한 모습을 보여서 너무 귀여웠어. 난 끝까지 봤지만👀,今天看愛情片，無預警出現色色情節，然後P就一臉不好意思地移開了視線。明明平時都有在做那檔事卻突然這麼清純好可愛喔（本糖盯著看了好久👀）,N/A,FALSE,FALSE
Tweet023,InternetYoutube (Video Streaming),すべての希望が失われた先にあるもの、それが自由だった,Lost in oblivion. Dark and silent and complete. I found freedom. Losing all hope was freedom.,失去了所有的希望后 剩下的就是自由,난 자유를 발견했어. 모든 희망을 잃는 것이 바로 자유야,失去所有希望後 剩下的只有自由了！,N/A,70,60,今日は夜な夜なみんなで殴り合うケンカ大会をこっそり開くって映画みたよ～　血がたぎるぜ！　ふざけてピに肩パン連打したら肩たたきしてると思われてワロタ,watched a movie about a secret club for fighting that you should definitely never talk about! it was sooo good! i started smacking p-chan as a joke but p-chan thought i was giving a free back massage lol,今天看了一部一堆人每天晚上都在偷偷聚众互殴的片子～ 热血沸腾！看完我开玩笑对着P的肩膀一顿打，结果P还以为我在捶背 笑死,오늘은 밤마다 비밀리에 모여서 대회를 열고 서로 치고받는 내용의 영화를 봤어~ 피가 끓어오르더라! 장난삼아 P의 어깨를 몇 번 때려봤더니 어깨를 안마해주는 줄 알고 좋아해서 엄청 웃었어,今天看了一部一堆人每天晚上偷偷聚眾互毆的片子～ 熱血沸騰耶！看完我開玩笑對著P的肩膀狂出拳，結果P以為我在捶背 笑爛,N/A,FALSE,FALSE
Tweet024,InternetYoutube (Video Streaming),N/A,N/A,N/A,,N/A,N/A,0,0,やっぱ男は血と硝煙の匂いが似合う人じゃないとねっ！ あ～、あめも銃持って激しく暴れてぇ……「デスペラード」になっちゃうか。。。🥺,"men:😒
men covered in blood and gunpowder: 👀

yall know what im talking about right?? i wanna jump in guns ablazing like an action movie hero too!! desperado lets gooooo",果然还是有血性的汉子才算男人！啊～糖糖也想端着枪大开杀戒……但会变成杀人三步曲里面那样吧。。。🥺,"역시 남자는 피와 화약 냄새가 어울리는 사람이어야 돼! 아~ 나도 총을 들고 격렬하게 날뛰고 싶어... ""데스페라도""라도 되어버릴까...🥺",果然還是血氣方剛的火藥味才夠男子漢！啊～糖糖也想扛著槍大鬧一番……但可能會變成英雄不流淚的場面吧。。。🥺,N/A,FALSE,FALSE
Tweet025,InternetYoutube (Video Streaming),N/A,N/A,N/A,,N/A,N/A,0,0,"ライダーってイケメンばっかで眼福っすわ🙏変身しないで生身でずっと映っていて欲しいなぁ～
これ超てん垢でツイートしたら炎上するかな？？？🤔",the actors in riders are so hot im whew🙏 they should just not transform imo👀 maybe i should post that on kangels account for some Controversy🤔,"演来打的全是帅哥，真素大饱眼福🙏 不要变身了，一直保持人间体好不好嘛～👀
这要是用超天酱的号发出来会不会炎上啊？？？🤔",가면라이더는 훈남들이 많아서 눈이 정화돼🙏 변신하지 말고 앞으로도 쭉 맨몸으로 계속 나왔으면 좋겠어~ 이걸 초텐 계정에 올리면 조리돌림당하려나?🤔,"演假面特攝劇的全是帥哥，大飽眼福耶🙏 不用變身了，一直保持原來的樣子好嗎～👀
這要是用超天的帳號發出來會不會被炎上啊？？？🤔",N/A,FALSE,FALSE
Tweet026,InternetYoutube (Video Streaming),"シン・怪獣映画みた！
東京がいっぱい壊されててとってもこわかった～；；
超てんちゃんの家の近くは無事だった😇🙏特定されるかな？？？",Watched Shin Godziller! Seeing Tokyo get destroyed like in the movie was scary;; But the area around my house was totally fine! Thank you for sparing me Godziller😇🙏,看了新大怪兽！东京被破坏得好厉害 吓鼠惹；； 超天酱家附近倒是没事。😇🙏说这个会被人肉吗？？？,신 고●라 영화 봤어! 도쿄가 산산조각나는 장면이 굉장히 무서웠어 ;ㅁ; 다행히 우리 집 근처는 무사했어😇🙏 이러면 어딘지 알려나??,我看了新怪獸電影！東京整個被破壞殆盡 嚇屎惹；； 超天醬家附近倒是沒事。😇🙏是被鎖定了嗎？？？,N/A,70,40,昔はヒーローの方に憧れてたけど、大人になった今は、怪獣になって色んな人が精一杯つくったジオラマの街をおもいっきり破壊したさしかないな,character development is when you go from wanting to be a superhero as a kid to wanting to become the monster they fight so you can destroy buildings and stuff,以前想当英雄，但现在长大了反而想当怪兽，然后把模型师努力肝出来的城市模型全给它砸个干净,"어릴 적에는 영웅을 동경했지만, 어른이 된 지금은 괴수가 되어 여러 사람이 열심히 만든 디오라마 거리를 마음껏 파괴하는 장면만 기억나",以前想當英雄，現在長大了反而想當怪獸，把很多人心血結晶做出來的城市模型全給它砸個稀巴爛,N/A,FALSE,FALSE
Tweet027,InternetYoutube (Video Streaming),N/A,N/A,N/A,,N/A,N/A,0,0,ピがハマっちゃって、ずっとサメ映画観るようになっちゃった🤷サメ映画ばっかりでもうさめざめってね😂ｗ,p-chan got SUPER into shark movies and wont stop renting them... if i have to watch another shark movie ill be swimming with them soon i s2g (jk anything for p-chan😂),阿P看鲨鱼片看上瘾了，天天只看鲨鱼片，整天看鲨鱼片看得我人都变傻了😂w,P가 푹 빠진 탓에 나도 계속 상어 영화를 보게 됐어🤷 상어 영화만 종일 보니까 꿈에서도 상어가 튀어나올 것 같아ㅋㅋㅎㅎ😂,阿P看鯊魚片看上癮了，天天只看鯊魚電影，整天看看得我都要變傻魚了😂w,N/A,FALSE,FALSE
Tweet028,Amechan_talk (Spend Time Together),N/A,N/A,N/A,,N/A,N/A,0,0,ピと一日中ゴロゴロしてた！　起きたら夕方だったけどそれでも一生ふたりで寝てたぁ　たまにはこんな一日があってもいいな。おくすり無しで体力回復！！！,"spent the whole day lazing around with p-chan!! the sun was already setting when we woke up lmao but we can have a big nap as a Snacc
i feel so rested and i didnt even have to pop any pills!!!",今天一天都跟阿P在家滚来滚去！起来时天都黑了 但还是想跟阿P一起睡到天荒地老 偶尔这样混一天也不错。还没嗑药就满血复活了！！！,"P랑 하루 종일 뒹굴거렸어! 정신을 차리고 보니 저녁이었지만, 그래도 둘이서 계속 잤지 뭐야. 가끔은 이런 날도 괜찮을 것 같아. 약을 먹을 필요도 없이 체력도 회복!!",今天整天跟阿P在家耍廢！起來時天都黑了，但還是想跟阿P一起睡到天荒地老。偶爾這樣混一天也不錯，不用嗑藥就滿血復活了！！！,,FALSE,TRUE
Tweet029,Amechan_talk (Spend Time Together),N/A,N/A,N/A,,N/A,N/A,0,0,"ピにもおくすり分けてあげようと思ったけど、ラリったあめちゃんを介護するから自分は要らないだって。

あのさ～～～～～～～～🤦🤦ほれ直しちゃった","i offered p-chan some of my drugs but you know what my dear p-chan said??? ""no im good, i cant take care of you if im high you know?"" UUUUUU i love u bitch i aint ever gonna stop loving u bitch😭😭","本来想跟阿P一起磕，可是P说P要照顾上头的糖糖，所以不要。
我说啊～～～～～～～～🤦🤦你这样我又会爱上你的","P에게 약 줄려고 했는데, 자기는 약에 취한 날 간호해야 한다며 필요 없대. 아 뭐야~~~~🤦🤦 다시 반해버렸엉","本來想跟阿P一起High，可是P說要照顧嗑藥的糖糖，所以不要。
我說啊～～～～～～～～🤦🤦你這樣我又會愛上你啦",N/A,FALSE,FALSE
Tweet030,Amechan_talk (Spend Time Together),N/A,N/A,N/A,,N/A,N/A,0,0,電子で漫画いっぱい買ったからピと二人で回し読みしてたら一日が終わっちゃってた！　あめは復活編が好きなんだけど、ピは未来編が好きなんだって！　こんど感想を配信で話してみよ！,bought a bunch of manga on bookrunner and spent the whole day reading them with p-chan! the resurrection arc was my favorite but p-chan really liked the future arc! maybe i should talk about this manga in a future stream?,买了好多电子版漫画跟阿P换着看 不知不觉一天就过去了！本糖喜欢复活篇，阿P说喜欢未来篇！下次直播时跟大家聊聊读后感吧！,"인터넷에서 만화를 잔뜩 질러서 P랑 같이 만화를 돌려보다 하루가 금방 지나가 버렸어! 난 부활편을 좋아하지만, P는 미래편이 마음에 들었다나 봐! 다음에 방송으로 감상을 이야기해 봐야지!",買了好多電子版漫畫跟阿P換著看，不知不覺一天就過去了！本糖喜歡復活篇，阿P說喜歡未來篇！下次直播時跟大家聊聊讀後感吧！,N/A,FALSE,FALSE
Tweet031,Amechan_talk (Spend Time Together),N/A,N/A,N/A,,N/A,N/A,0,0,なんか急に死ぬのが怖くなったからピとその話してた。だって死んだら急に全部終わるの怖くない？　ある日、急に死んで一瞬で終わったらどうする？　こわいよ～　ぴえん🥺　超てんちゃんとして一生電子の世界で生きたいよ～🥺🥺,suddenly became really scared of dying so i went to talk about it with p-chan... the thought of everything suddenly ending is really scary like what would you do if you just died one day without warning? that shits scary!!🥺 wish i could live online forever as kangel...,"突然好怕死，就跟阿P聊了聊这个。因为人一死就什么都没了，不觉得可怕吗？
如果有一天我突然猝死、瞬间离世了，你会怎么办？好可怕～嘤🥺 
好想作为超天酱一辈子活在网络里哦～🥺🥺","갑자기 죽는 게 무서워져서 P와 이야기를 나눴어. 왜냐니, 죽으면 그 시점에서 전부 끝나는걸, 무섭지 않아? 어느날 갑자기 죽어서 순식간에 모든 게 끝나면 어쩌지? 우엥~ 무섭다구🥺 초텐이 되어 평생 전자 세계에서 살고 싶어~🥺🥺","突然好怕死，就跟阿P聊了聊這個。因為人一死就什麼都沒了，豈不是很恐怖嗎？
如果有一天我猝死、說走就走，該怎麼辦？好可怕～嚶🥺 
 好想只當超天，一輩子活在二次元裡哦～🥺🥺",N/A,FALSE,FALSE
