Category,Id,ParentId (more info),Speaker/Action (in blue),Stress,Affection,Darkness,BodyCn,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay023,weekday,ame,,,,我要不要试试在开播的瞬间用超他妈大声的嗓门大喊「我想去死！！！」啊,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay024,weekday,ame,,,,用他们刷礼物拿到的钱去买成人用品好了,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay025,weekday,ame,,,,我想学打麻将做实况 但是感觉弹幕里会有很多声控怪 搞得我很纠结 有空你要教我打哦,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay026,weekday,ame,,,,附近有人施工真的好烦啊！直播时传出的工地声音会不会害我住的地方被人肉出来啊？！如果真的被人肉了我就去告国土交通省～～～,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay027,weekday,ame,,,,你不觉得秋叶原已经不是阿宅圣地，而是游客天堂了吗？好难过,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay028,weekday,ame,,,,我要过量～～～～ 让我过量～～～～,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay029,weekday,ame,,,,取床了,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay030,weekday,ame,,,,开玩笑往阿妈粽心愿单里放了阿妈粽子 结果真的有人买了寄过来了 晚上两个人一起吃吧,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay031,weekday,ame,,,,与你在夏日之末约定 一切都要完蛋 去死,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay032,weekday,ame,,,,完蛋 今天本来要去做熏灵治疗的 我给忘了,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay033,weekday,ame,,,,刚醒 好像有个一直很挺我的女粉突然变成了黑子 现在在死命地喷我 为啥……？是我做了什么坏事吗？好像是做了不少……,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay034,weekday,ame,,,,虽然金钱买不到幸福 可是如果幸福以外都能用钱买到的话 那还是多给我点钱吧,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay035,weekday,ame,,,,想弄个鱼缸！要不要弄个鱼缸啊？不过看在咱俩既没空又无知的份上……那一周吃五次……不行，不能太奢侈，一周吃四次寿司就好了,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay036,weekday,ame,,,,换个思路，这次就纯粹为止咳而喝止咳药好了,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay037,weekday,ame,,,,阿P同学，糖糖其实一直都对你…………况且况且况且况且（电车驶过的声音）,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay038,weekday,ame,,,,「被骂了就当交名人税了吧」这种鬼话真的是气死我了！！！怎么想都是喷子不对吧！！！！黑子都给我集体磕头谢罪啊！！！,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay039,weekday,ame,,,,我今天，去看海了。已经不再害怕了,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay040,weekday,ame,,,,好像收到了好多写着税金？年金？的信封！！！！这些不付会怎么样？会完蛋吗？,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay041,weekday,ame,,,,阿P，你是不是把我设为免打扰了？我刚给你发了消息，你手机却没响，是怎么回事？请你解释一下？？？,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay042,weekday,ame,,,,醒来一看 闹钟好像被我用膝盖撞坏了 原来还能这样,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay043,weekday,ame,,,,为了拓宽直播路子，我是不是该去学一下伪声比较好？学习工作谈恋爱我好忙我好忙～～～,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay044,weekday,ame,,,,我今天能不能休息啊？？？鸽了吧！鸽了吧！鸽了吧！压力太大了啦～～～,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay045,weekday,ame,,,,对了，我昨天被人当成高中生了！！！！！,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay046,weekday,ame,,,,你不觉得人每天必须睡满18小时吗？,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay047,weekday,ame,,,,安神片吃完了 我动不了了🥺,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay048,weekday,ame,,,,明知道吃到一半就会放弃，可还是点了超辣的拉面，这像不像一种自残,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay049,weekday,ame,,,,房间里摄像机拍不到的地方好乱哦……而且分界线居然可以如此的清晰 简直就是一种艺术,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay050,weekday,ame,,,,要是我努力直播你就给我买鳗鱼吃好不好！！！！！！！！我要超市里最大的那个！,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay051,weekday,ame,,,,我变成小猫咪了 小猫咪什么都不干 喵～🐈,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay052,weekday,ame,,,,今天起早了一点点 快夸我🙏,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay053,weekday,ame,,,,男团的人私信轰炸我了！！！我要不要在简介里写上谢绝约炮啊？！,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay054,weekday,ame,,,,这个房间能不能突然变大一百倍啊,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay055,weekday,ame,,,,对不起，老是把衣服丢给你洗，我偶尔也有想过要自己洗的；； 真的是这么想的；； 你不要讨厌我哦；； 不要拉黑我；；,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay056,weekday,ame,,,,你这已读速度也太慢了喂 女票这么可爱都不知道要珍惜的吗,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay057,weekday,ame,,,,今天好像鸡蛋特价 你去买一下吧🙏 麻烦你了,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay058,weekday,ame,,,,好想养猫猫 好想养哦 可是我最后肯定会彻底把猫丢给阿P照顾的 还是算了吧,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay059,weekday,ame,,,,反正嘴上说说又不花钱 下次直播的时候我要大喊「我想要一百万！！！」,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay060,weekday,ame,,,,房间太乱了 想买个扫地机器人 可是房间这么乱 买来也动不了,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay061,weekday,ame,,,,或许我应该就这样抛下一切，余生都泡在迪厅辣舞,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay062,weekday,ame,,,,我最近在学发推博时的那个「咻啵」的提示音,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay063,weekday,ame,,,,糖糖好像累了……让糖糖休息一下好不好,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay064,weekday,ame,,,,换个思路，要不下次别媚宅了，媚那些小混混怎么样,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay065,weekday,ame,,,,当代女性图鉴：纯粹只是为了自拍而去高档咖啡店消费的女人,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay066,weekday,ame,,,,当代女性图鉴：加锁账号的数量比普通账号多出几倍的女人,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay067,weekday,ame,,,,当代女性图鉴：建小号把男友关注的账号全部关注一遍的女人,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay068,weekday,ame,,,,当代女性图鉴：手机相册里只存了手游截图的女人,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay069,weekday,ame,,,,当代女性图鉴：为了给自推上供而考虑去做公主或者按摩妹的女人,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay070,weekday,ame,,,,我要把宅宅们的脑子全部魔改成只有看超天酱的直播才能获得快感的构造,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay071,weekday,ame,,,,哇有个喜欢约的男主播私信问我要不要一起去看live 给个一百万我说不定会考虑一下,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay072,weekday,ame,,,,直播烦了。我下半辈子要当个coser,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay073,weekday,ame,,,,你知道吗？去咖啡店跟店员说「来一杯无因」，好像就会给你上咖啡因比较少的咖啡哦。,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay074,weekday,ame,,,,换个思路，要不我去拍铁道列车好了,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay075,weekday,ame,,,,听说那些很火的coser其实也是用免费app自拍的。这怎么赢啊～～～,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay076,weekday,ame,,,,你替我！！！去尿尿吧！！！,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay077,weekday,ame,,,,死前心愿清单→跟闺蜜去爱情旅馆唠嗑,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay078,weekday,ame,,,,我之前在心理医森那里看到了一对情侣！！！,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay079,weekday,ame,,,,我睡前一直在想对自己来说有没有比钱更重要的东西？好像并没有,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay080,weekday,ame,,,,之前直播的时候开玩笑说自己幼儿园就辍学了，结果那帮黑子真的信了，现在在到处喷我连小学都没上过，笑死,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay081,weekday,ame,,,,明明外面天气这么好，而网络世界却……,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay082,weekday,ame,,,,那些黑当代互联网小天使的人，以后就叫他们「当代互联网恶魔」吧。,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay083,weekday,ame,,,,我有个熟人掉进地男坑以后每个月都会给他们供20万。可是她最多就给超天酱贡献过100圆的喇叭……,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay084,weekday,ame,,,,人生随他祛疤膏🎊,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay085,weekday,ame,,,,努力看电视的任务交给我，努力打扫浴室的任务就交给你了阿P！！！,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay086,weekday,ame,,,,本来以为直播朗读初中时写的诗可能会很有梗，可是重新阅读它们的我现在已经在吐了，还是算了吧……,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay087,weekday,ame,,,,我最近睡觉好像眼睛都没合上 你要偶尔过来帮我合上哦 拜托你啦,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay088,weekday,ame,,,,就算糖糖说想休息了 你也不可以太宠她哦 不过今天就让糖糖休息好不好,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay089,weekday,ame,,,,有一种叫做倒卡的魔法 好像可以让人想买什么就买什么 你不觉得很厉害吗？？？马上来试试看好了！,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay090,weekday,ame,,,,在外国的约会APP上有人给我发消息了 啊他是打算跑到日本来约吗？看在他这么拼的份上跟他见一面好了,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay091,weekday,ame,,,,糖糖是一头只会慢慢变肥的懒猪……,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay092,weekday,ame,,,,糖糖的特技→可以闭着眼睛写出「憂鬱」这两个字,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay093,weekday,ame,,,,阿P你为什么愿意一直陪着糖糖呢？是因为糖糖长得美吗？😇,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay094,weekday,ame,,,,我觉得吧，酒这个东西绝对比常见的那些药都可怕,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay095,weekday,ame,,,,忘记交水费了！停水了！！！呃哈哈……,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay096,weekday,ame,,,,总有一天我们要成为出门坐得起出租车的情侣哦,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay097,weekday,ame,,,,今晚吃咖喱～明天后天也吃咖喱～,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay098,weekday,ame,,,,【紧急！】倒着太舒服了不想支棱 你快来帮忙把糖糖扶起来,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay099,weekday,ame,,,,那个催我交税的信封怎么从黄色变成红色的了！！！这是不是要出事？,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay100,weekday,ame,,,,该不会阿P和超天酱都是糖糖臆想出来的 现实的糖糖其实正被关在精神病院孤独地沉浸在主播的幻觉里吧？,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay101,weekday,ame,,,,换个思路，不如我们反过来蹭「#吐黑泥亲友扩列」这个tag的热度吧,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay102,weekday,ame,,,,点进那些黑子的主页，看到号主的年龄起码三十往上的时候，真的会为他们感到悲哀,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay103,weekday,ame,,,,那些瞧不起连锁快餐店的人，不就是在绕着弯子炫耀自己有钱吗？搞笑诶,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay104,weekday,ame,,,,无论何时都能随地起舞的人，才能成为互联网上的赢家,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay105,weekday,ame,,,,要是有人杠我「全天下就你自己这么想」的话，我就呛他「对没错怎么着吧～」,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay106,weekday,ame,,,,有时突然想到自己除了可爱一无所有，就会变得很难受,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay107,weekday,ame,,,,到头来只有行动派才能得到天下啊,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay108,weekday,ame,,,,视奸时间到,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay109,weekday,ame,,,,等我暴富后一定要去太空旅行！ 然后拜托外星人来把地球给灭了,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay110,weekday,ame,,,,当主播后花钱可以用经费报销！！！对了，什么是经费啊？,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay111,weekday,ame,,,,大人们都是人前假正经人后脏兮兮，看了都烦,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay112,weekday,ame,,,,光转发不点赞，我看你是想引战,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay113,weekday,ame,,,,听说从明年开始，有女朋友还到处私信聊骚的男人要被判死刑哦,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay114,weekday,ame,,,,我的身份证号→666,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay115,weekday,ame,,,,那些炫耀自己天生吃不胖的女人，手上的催吐茧都很刺眼,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay116,weekday,ame,,,,如果阿P死了我会顶不住的，所以我绝对要比阿P先死,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay117,weekday,ame,,,,我可太爱看女声优发推引得宅宅又哭又笑了,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay118,weekday,ame,,,,喂，阿P！！！晚饭已做好，速来客厅集合！,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay119,weekday,ame,,,,当代女性图鉴：分手的时候狂发失恋歌词的女人,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay120,weekday,ame,,,,我要不要试试在开播的瞬间狂喊「我可不是动物园里的动物！」啊,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay121,weekday,ame,,,,我能跟你剧透《第六感》不？,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay122,weekday,ame,,,,那些在网上发“我的人生完了 哈哈”的大学生，几年后都会该入职入职，该结婚结婚，可千万不要上当啊,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay123,weekday,ame,,,,如果有人开一家理发师绝对不会跟你闲扯的美容厅，不觉得生意会很火爆吗？,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay124,weekday,ame,,,,关注糖糖，每天发现新可爱！,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay125,weekday,ame,,,,虽然糖糖的生日是5月5日，但超天酱的生日我设定在7月7日哦（内部消息）,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay126,weekday,ame,,,,黑子的衣柜里一定只有不合身的衣服吧,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay127,weekday,ame,,,,好烦啊！骂骂黑子出气好了！,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay128,weekday,ame,,,,"好烦啊！骂骂黑子出气好了！
黑子看见别人穿校服约会的时候一定都在无能狂怒吧",,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay129,weekday,ame,,,,"好烦啊！骂骂黑子出气好了！
黑子的腿一定都很短吧",,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay130,weekday,ame,,,,夜空中的星星比因特网美好100倍,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay131,weekday,ame,,,,不觉得阿宅好像都很爱吃煎蛋吗？没有吗？,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay132,weekday,ame,,,,无论今天过得多糟糕，睡前都要记得刷牙哦！,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay133,weekday,ame,,,,唉……感觉世上喜欢我的人大概也就70亿吧……,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay134,weekday,ame,,,,希望能早日跟阿P扯证……,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay135,weekday,ame,,,,阿P！！！！！,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay136,weekday,ame,,,,如果我不再是超天酱了，你还愿意继续喜欢我吗？,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay137,weekday,ame,,,,请问在场的人有怂鸡吗？叽叽叽叽叽叽叽,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay138,weekday,ame,,,,"据说有些人玩推博都超过十年了哦
这里头得浪费多少时间啊",,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay139,weekday,ame,,,,快用信封装好「爱」寄给我,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay140,weekday,ame,,,,有些傻宅不要见到人家故意画成那样就到处喊作画崩坏啊好气啊！！！！,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay141,weekday,ame,,,,我会变得更加可爱的,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay142,weekday,ame,,,,你说，我会不会是折翼的天使呢？,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay143,weekday,ame,,,,要是出门散步的时候，碰巧遇到在看超天酱视频的阿宅，我感觉自己会当场“呜哇”出来,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay144,weekday,ame,,,,现在马上过来抱紧我,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay145,weekday,ame,,,,小时候有次玩游戏气到摔手柄 结果把它捅进屏幕里了,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay146,weekday,ame,,,,超天酱←→底层垃圾恶魔君,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay147,weekday,ame,,,,虽然我从来没向往过乡村，但跟阿P两个人一起过田园慢生活或许也挺不错的,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay148,weekday,ame,,,,想把头发弄成粉红之类的颜色 因为我还想得到更多的爱,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay149,weekday,ame,,,,明明有女朋友还来当超天酱粉丝的男的有事吗？你明知道我比你女朋友漂亮多了啊,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay150,weekday,ame,,,,当理发师问我做什么工作的时候，我都会随便扯个声优之类的蒙混过去,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay151,weekday,ame,,,,之前做梦，梦到自己跟全人类道歉说：真的很对不起，我太过可爱了……,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay152,weekday,ame,,,,"我应该会接受不了自己变老，然后就不想活了
到时候你要跟我一起死哦",,,,,,,,,,,,,,,,,,,,,,
Random Noon Event: Daily,Event_UberEats_JINE001,Event_UberEats (First Part),ame,,,,我们点外卖吧我一步也不想动了可是又超想吃饭！！！,,,,,,,,,,,,,,,,,,,,,,
Random Noon Event: Daily,Event_UberEats_JINE001_Option001,Event_UberEats (Option1),pi,,,,烦死了白痴,,,,,,,,,,,,,,,,,,,,,,
Random Noon Event: Daily,Event_UberEats_JINE002,Event_UberEats (Option1;end),ame,-1,,,"555555555 但是我们得省钱对吧
谢谢你阿P",,,,,,,,,,,,,,,,,,,,,,
Random Noon Event: Daily,Event_UberEats_JINE001_Option002,Event_UberEats (Option2),pi,,,,吃土去吧你,,,,,,,,,,,,,,,,,,,,,,
Random Noon Event: Daily,Event_UberEats_JINE003,Event_UberEats (Option2;end),ame,1,,,看来糖糖还是跟吃土更配呢……喂怎么可能啦！,,,,,,,,,,,,,,,,,,,,,,
Random Noon Event: Daily,Event_UberEats_JINE001_Option003,Event_UberEats (Option3),pi,,,,那我点了哦,,,,,,,,,,,,,,,,,,,,,,
Random Noon Event: Daily,Event_UberEats_JINE004,Event_UberEats (Option3;end),ame,2,,,不过你不觉得乱花钱有点可怕吗？而且吃外卖会胖的……还是算了吧,,,,,,,,,,,,,,,,,,,,,,
